game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.007247,0.000000,499.994751,271,356,Ethernet,105507,21133,0,0,0,0,0,0,2857,0,0,354,0,271,0,0,0,627,627,162.249.78.111,5277,0.016565,0,0,0.129337,0.004344,Connected,150742302,10.001481,7,
0.007310,0.000002,509.995117,253,322,Ethernet,84711,19244,0,0,0,0,0,0,2343,0,0,344,0,253,0,0,0,575,575,162.249.78.111,5277,0.015093,0,0,0.129752,0.007972,Connected,150742302,10.000446,7,
0.007391,0.000002,519.995605,277,350,Ethernet,104236,21171,0,0,0,0,0,0,2622,0,0,374,0,277,0,0,0,627,629,162.249.78.111,5277,0.016782,0,0,0.121992,0.005126,Connected,150742302,10.000118,7,
0.007449,0.000001,529.999573,273,386,Ethernet,136167,21754,0,0,0,0,0,0,3951,0,0,368,0,273,0,0,0,659,655,162.249.78.111,5277,0.017950,0,0,0.122085,0.006040,Connected,150742302,10.003619,7,
0.007325,0.000001,540.006287,259,345,Ethernet,104705,20665,0,0,0,0,0,0,3044,0,0,352,0,259,0,0,0,604,606,162.249.78.111,5277,0.016983,0,0,0.119969,0.003810,Connected,150742302,10.006362,7,
0.007446,0.000001,550.013367,251,359,Ethernet,105983,20872,0,0,0,0,0,0,2970,0,0,345,0,251,0,0,0,610,609,162.249.78.111,5277,0.016511,0,0,0.120470,0.004187,Connected,150742302,10.006814,7,
0.007311,0.000001,560.015076,290,360,Ethernet,122487,22038,0,0,0,0,0,0,3247,0,0,385,0,290,0,0,0,650,651,162.249.78.111,5277,0.017889,0,0,0.120182,0.003903,Connected,150742302,10.001115,7,
0.007573,0.000002,570.019653,283,308,Ethernet,92282,20330,0,0,0,0,0,0,2371,0,0,370,0,283,0,0,0,591,592,162.249.78.111,5277,0.017334,0,0,0.123137,0.003641,Connected,150742302,10.004178,7,
0.007265,0.000001,580.023743,257,359,Ethernet,111395,19869,0,0,0,0,0,0,2830,0,0,327,0,257,0,0,0,616,615,162.249.78.111,5277,0.016394,0,0,0.121071,0.004189,Connected,150742302,10.003406,7,
0.007387,0.000001,590.025757,263,339,Ethernet,100881,19654,0,0,0,0,0,0,2810,0,0,345,0,263,0,0,0,602,602,162.249.78.111,5277,0.016684,0,0,0.119748,0.003564,Connected,150742302,10.001651,7,
